Column1,Column2
promise,25
offer,25
lord,25
realized,25
letter,25
parts,25
seek,25
bought,25
willing,25
closer,25
fair,25
existence,25
ring,25
key,25
surface,25
minds,25
woke,25
rising,25
journey,25
indeed,25
ideas,25
proper,24
dirty,24
asking,24
alright,24
shape,24
shoulders,24
remain,24
heavy,24
fix,24
forms,24
shoot,24
presence,24
weak,24
needed,24
poets,24
pride,24
faster,24
mission,24
shows,24
forward,24
pray,24
silver,24
woods,24
ultimate,24
walked,24
color,24
changes,24
allow,24
flesh,24
recall,23
proud,23
teeth,23
created,23
material,23
shot,23
opportunity,23
cars,23
worst,23
brave,23
training,23
design,23
designed,23
sentence,23
survive,23
forgive,23
serious,23
months,23
message,23
nearly,23
dollars,23
importance,23
forest,23
actions,23
played,23
fool,23
grew,23
precious,23
determine,23
falls,23
attack,23
dawn,23
sweet,23
ya,23
worked,23
mistakes,23
difficult,23
evening,23
lovely,23
sword,22
losing,22
government,22
store,22
won,22
english,22
movie,22
likely,22
deeper,22
fat,22
completely,22
giant,22
sell,22
systems,22
parents,22
beside,22
likes,22
interest,22
news,22
entirely,22
tall,22
forgotten,22
pick,22
everywhere,22
luck,22
smell,22
opened,22
bored,22
streets,22
fish,22
beat,22
anger,22
gentlemen,22
shining,22
expect,22
warm,22
species,22
dad,22
knife,22
snow,22
hanging,21
edge,21
level,21
scene,21
average,21
including,21
windows,21
clever,21
corner,21
coffee,21
tells,21
kept,21
thus,21
eating,21
similar,21
produce,21
ran,21
courage,21
grown,21
account,21
information,21
happening,21
pocket,21
kinds,21
conditions,21
shadows,21
sent,21
serve,21
values,21
strength,21
join,21
cool,21
ride,21
rush,21
birds,21
moves,21
mighty,21
they'd,21
liked,21
involved,21
particular,21
shooting,21
roll,21
shine,21
anywhere,21
wide,21
tyrone,21
voices,21
ill,21
text,21
corn,21
painting,21
double,21
slow,21
caused,20
efficient,20
buying,20
size,20
percent,20
sudden,20
senses,20
despair,20
comfort,20
powers,20
mountains,20
wise,20
useful,20
runs,20
humans,20
beginning,20
view,20
quiet,20
sacrifice,20
blind,20
instance,20
toward,20
cross,20
united,20
burning,20
heads,20
police,20
third,20
wondering,20
lizard,20
energy,20
modern,20
focus,20
frame,20
sir,20
army,20
club,20
weapon,20
wounded,20
perfectly,20
yellow,20
passing,20
plastic,20
bones,20
effect,20
vision,20
bag,20
continue,19
equal,19
fault,19
lights,19
fears,19
breathe,19
huge,19
waves,19
animals,19
education,19
learning,19
master,19
planet,19
chess,19
easily,19
fill,19
artist,19
clouds,19
angry,19
held,19
nine,19
numbers,19
twice,19
stones,19
rocket,19
directly,19
tom,19
lying,19
appear,19
duty,19
yesterday,19
pulled,19
technology,19
mom,19
main,19
distance,19
buggy,19
weeks,19
typing,19
keys,19
appeared,19
brown,19
forces,19
correct,19
belongs,19
result,19
illusion,19
tiny,19
wild,19
goal,19
major,19
explain,19
lesson,19
monster,19
millions,19
sam,19
choices,19
honor,19
eternal,19
b,19
subtle,18
stock,18
market,18
agree,18
weren't,18
bet,18
following,18
staring,18
connected,18
closed,18
excellent,18
morphic,18
resonance,18
mankind,18
mass,18
bill,18
popular,18
fighting,18
charge,18
hoping,18
record,18
immediately,18
dogs,18
spock,18
generation,18
winning,18
youth,18
travel,18
keeps,18
shown,18
angels,18
terror,18
thank,18
orders,18
rise,18
finds,18
pretend,18
ordinary,18
sick,18
foods,18
finger,18
madness,18
contact,18
plans,18
nation,18
walks,18
below,18
stone,18
mostly,18
infinite,18
putting,18
source,18
exists,18
bars,18
acting,18
moral,18
breaking,18
bell,18
caught,18
romance,18
recognize,17
taught,17
thinks,17
reached,17
rough,17
troubles,17
fresh,17
success,17
led,17
sadness,17
joy,17
college,17
sees,17
kings,17
party,17
enemies,17
tale,17
burned,17
silent,17
meeting,17
individual,17
remains,17
fields,17
direction,17
box,17
boat,17
bird,17
changing,17
according,17
washed,17
responsibility,17
breaks,17
creatures,17
cast,17
creation,17
minutes,17
fancy,17
plain,17
chosen,17
damage,17
imagined,17
potential,17
doors,17
professional,17
hidden,17
dust,17
throw,17
conversation,17
singing,17
considered,17
foundation,17
birth,17
bar,17
blow,17
communication,17
bridge,17
gain,17
comfortable,17
skin,17
seconds,17
provide,17
guilty,16
culture,16
shake,16
defeat,16
shoes,16
wearing,16
regard,16
regions,16
missing,16
hopes,16
achieve,16
failure,16
depends,16
convinced,16
laughing,16
horrible,16
calm,16
badly,16
wherever,16
busy,16
previous,16
leads,16
mystery,16
titanium,16
besides,16
president,16
believed,16
flames,16
cops,16
loud,16
computers,16
distant,16
rose,16
scissors,16
screaming,16
chair,16
ancient,16
america,16
object,16
fixed,16
objects,16
obvious,16
grass,16
bigger,16
uh,16
whoever,16
seeds,16
ship,16
bottom,16
due,16
oil,16
movement,16
decided,16
stopping,16
kick,16
glass,16
cup,16
driving,16
worlds,16
september,16
larger,16
brains,16
stolen,16
error,16
shut,16
career,16
rare,16
player,16
political,16
shop,16
study,16
month,16
opinions,16
tight,16
court,16
stare,16
0,16
center,16
position,16
seeing,16
stuck,16
nose,16
discovery,16
extra,16
everyday,16
begins,16
dvorak,16
consciousness,15
drunk,15
lied,15
elements,15
iron,15
church,15
slowly,15
required,15
easier,15
lack,15
liquid,15
daughter,15
shore,15
sweat,15
weird,15
remind,15
mile,15
reflect,15
sleeping,15
managed,15
trick,15
team,15
warrior,15
invention,15
storms,15
red,15
service,15
precisely,15
surprise,15
dancing,15
hat,15
apart,15
prevent,15
boil,15
killing,15
castle,15
external,15
marriage,15
underneath,15
paid,15
wheel,15
relationship,15
sweetest,15
range,15
hungry,15
studying,15
miserable,15
famous,15
shade,15
physical,15
taste,15
huh,15
scientist,15
constant,15
shines,15
ended,15
thy,15
pockets,15
private,15
instinct,15
skill,15
wins,15
gray,15
horizon,15
disease,15
ice,15
conceived,15
dreamed,15
uniform,15
victory,15
facts,15
desert,15
doorway,15
relative,15
racing,15
further,15
technique,15
code,15
people's,15
covered,15
setting,15
page,15
loses,15
bitter,15
roses,15
fifteen,15
sharp,14
continues,14
cling,14
slip,14
clients,14
film,14
unhappy,14
paths,14
sting,14
empire,14
production,14
hills,14
emergency,14
generally,14
naturally,14
carried,14
rome,14
winter,14
surely,14
bank,14
proof,14
calls,14
usual,14
broad,14
drop,14
requires,14
treat,14
laps,14
sail,14
enter,14
manager,14
showed,14
organization,14
signed,14
stands,14
fools,14
environment,14
endure,14
plant,14
experienced,14
ball,14
belt,14
apple,14
selling,14
companies,14
dies,14
mention,14
feed,14
ridiculous,14
brothers,14
fights,14
headed,14
complicated,14
hello,14
envy,14
prize,14
opposite,14
aspect,14
rooms,14
content,14
jam,14
smoke,14
total,14
20,14
heroes,14
fallen,14
manage,14
effort,14
style,14
certainly,14
flash,14
tear,14
complain,14
admit,14
valuable,14
fifth,14
fired,14
wedding,14
benefit,14
healthy,14
manner,14
meat,14
forth,14
emotion,14
fever,14
asleep,14
evidence,14
highest,14
pyramid,14
limited,14
stronger,14
property,14
positive,14
defense,14
melancholy,14
scream,14
sacred,13
sounds,13
pretending,13
safety,13
original,13
thrive,13
treated,13
alcohol,13
spot,13
capable,13
drown,13
superior,13
shared,13
mountain,13
invented,13
wood,13
thin,13
sold,13
note,13
crying,13
successful,13
sum,13
cared,13
sign,13
trade,13
lake,13
machines,13
audience,13
creature,13
expected,13
bottle,13
perfection,13
influence,13
harm,13
desk,13
moved,13
sorrow,13
understands,13
strangers,13
express,13
apartment,13
wondered,13
ghost,13
arm,13
plants,13
regarded,13
results,13
locked,13
symbol,13
reflection,13
writer,13
chaos,13
ticket,13
starts,13
darling,13
hiding,13
capital,13
defeated,13
leg,13
steel,13
experiences,13
granted,13
emotions,13
measure,13
television,13
appreciate,13
absolutely,13
eight,13
fortune,13
internet,13
grade,13
demons,13
cost,13
divine,13
constantly,13
named,13
direct,13
determined,13
politics,13
eggs,13
hatred,13
regular,13
allows,13
complex,13
else's,13
communicate,13
helps,13
champion,13
missed,13
tender,13
threat,13
goodbye,13
sinking,13
points,13
intelligence,13
ghosts,13
tongue,13
towards,13
scientists,13
flow,13
remembered,13
stops,13
cell,13
temperature,13
dirt,13
existed,13
rid,13
cooking,13
aware,13
non,13
freeze,13
mere,13
concerns,13
barely,13
public,13
loving,13
concerned,13
picked,13
transform,13
thrill,13
glow,13
hearing,13
innocent,13
crowd,13
mastery,13
talked,13
strings,13
touched,13
climb,13
candle,13
thou,13
rises,13
paint,13
praise,13
killed,12
helped,12
risk,12
beta,12
marry,12
charm,12
generations,12
jobs,12
score,12
china,12
layer,12
families,12
'til,12
attempt,12
actor,12
shoulder,12
upset,12
doctor,12
thoroughly,12
interesting,12
forced,12
jump,12
cloud,12
thirty,12
goods,12
cries,12
habits,12
emperor,12
wealth,12
distress,12
1,12
waters,12
program,12
pages,12
promises,12
skies,12
thee,12
harvey,12
suspect,12
drugs,12
essence,12
idiot,12
raised,12
possibly,12
hill,12
finished,12
mouth,12
dinner,12
FALSE,12
perspective,12
it'd,12
terms,12
flat,12
unique,12
decent,12
trace,12
vice,12
south,12
wander,12
ashamed,12
wheels,12
invisible,12
notebook,12
murder,12
supreme,12
include,12
talent,12
term,12
stage,12
swim,12
rage,12
groups,12
mark,12
speaks,12
suppose,12
favorite,12
ears,12
cat,12
coat,12
lifetime,12
local,12
identity,12
data,12
nerd,12
guide,12
returns,12
nowhere,12
beating,12
thunder,12
resistance,12
variety,12
leader,12
definitely,12
loser,12
steer,12
stopped,12
subject,12
prepared,12
wished,12
moonlight,12
heavens,12
cheese,12
sciences,12
meal,12
laid,12
snap,12
physics,12
standards,12
reminded,12
humanity,12
closely,12
dozen,12
30,12
accomplished,12
chicken,12
hadn't,12
begun,12
event,12
basic,12
horror,12
painted,12
matters,12
software,12
moses,12
broke,11
dramatic,11
challenging,11
processed,11
grains,11
queen,11
juice,11
slightly,11
thousands,11
steal,11
behave,11
100,11
legs,11
cowards,11
per,11
violence,11
student,11
tend,11
skills,11
daily,11
practical,11
adult,11
develop,11
sung,11
forgot,11
biological,11
spoke,11
burden,11
support,11
vanish,11
refuse,11
o,11
economic,11
disappear,11
intelligent,11
unknown,11
inner,11
colors,11
hundreds,11
damn,11
necessarily,11
highway,11
core,11
alarmed,11
fifty,11
teacher,11
lazy,11
dress,11
appearance,11
disaster,11
galaxy,11
controls,11
golden,11
chances,11
accident,11
gravity,11
documents,11
somebody's,11
knock,11
lawyer,11
heal,11
block,11
image,11
tax,11
county,11
situation,11
slim,11
station,11
conscience,11
california,11
extraordinary,11
morality,11
partially,11
jail,11
paine,11
cardboard,11
date,11
folk,11
aim,11
sits,11
tea,11
reduce,11
wore,11
attitude,11
acquire,11
beloved,11
ambition,11
harmony,11
guns,11
york,11
meaningful,11
characteristics,11
board,11
vinny,11
quality,11
patience,11
fruit,11
wrote,11
tide,11
peak,11
worthy,11
global,11
desperate,11
list,11
logic,11
grows,11
desired,11
pile,11
rapture,11
loose,11
release,11
web,11
task,11
liberty,11
loves,11
world's,11
effective,11
quest,11
braising,11
nuclear,11
crisis,11
stairs,11
ha,11
conflict,11
vocation,11
england,11
spending,11
nights,11
responsible,11
hunt,11
minor,11
declare,11
exotic,11
camp,11
studied,11
radio,11
wandered,11
vicious,11
earlier,11
cannon,11
seed,10
criminals,10
current,10
aimed,10
sugar,10
previously,10
settle,10
french,10
chasing,10
joke,10
recommend,10
succeeded,10
swamp,10
lightning,10
mixed,10
poured,10
happily,10
souls,10
edges,10
jim,10
abyss,10
rate,10
ruled,10
title,10
accept,10
happier,10
shirt,10
careful,10
careless,10
hang,10
mike,10
nations,10
reaction,10
figures,10
hardly,10
valley,10
mommy,10
commercial,10
spoken,10
fairy,10
yard,10
west,10
fiction,10
philosophers,10
killer,10
butt,10
parasites,10
methods,10
degrees,10
steam,10
sets,10
princess,10
structure,10
schools,10
essential,10
barrier,10
advice,10
breakfast,10
promised,10
nick,10
placed,10
cooked,10
ability,10
operations,10
services,10
dry,10
revolution,10
expectations,10
boss,10
smooth,10
intellectual,10
sports,10
ladder,10
border,10
partner,10
hall,10
holds,10
hotel,10
hence,10
punished,10
entered,10
bacon,10
magical,10
blows,10
bowling,10
confused,10
hi,10
picnic,10
candy,10
firm,10
grace,10
officer,10
finish,10
glorious,10
roots,10
lands,10
painful,10
trip,10
dollar,10
chain,10
drivers,10
sometime,10
sin,10
awful,10
bunch,10
emotional,10
tune,10
sang,10
qwerty,10
increase,10
here's,10
credit,10
starting,10
drives,10
devil,10
wash,10
ignorance,10
faced,10
mistaken,10
remaining,10
frodo,10
san,10
useless,10
suggest,10
fantasy,10
notice,10
handle,10
ah,10
sooner,10
fiery,10
americans,10
unlikely,10
cook,10
excited,10
rejected,10
crap,10
becoming,10
banks,10
students,10
london,10
receive,10
stayed,10
johnny,10
metal,10
blessed,10
grapes,10
signs,10
stomach,10
require,10
continent,10
kitchen,10
images,10
bus,10
fraud,10
brick,10
prepare,10
impress,10
stains,10
tough,10
vanished,10
nonsense,10
vain,10
sensation,10
ceases,10
opens,10
expert,10
distinguished,10
centuries,10
tube,10
grief,10
dragons,10
particularly,10
drinks,10
owners,10
silence,10
awareness,10
motion,10
wars,10
teaching,10
corporation,10
worship,10
performance,10
men's,10
marks,10
population,10
secrets,10
puts,10
foolish,10
plays,10
impression,10
mortal,10
totally,10
members,10
reasonable,10
pennies,10
pants,10
push,10
tunnel,10
december,10
paintings,9
majesty,9
gotten,9
ad,9
grin,9
dull,9
papers,9
prince,9
speaking,9
gaze,9
garbage,9
capture,9
facebook,9
colleagues,9
appeal,9
grand,9
lit,9
loneliness,9
authority,9
appropriate,9
wire,9
apply,9
closet,9
hurting,9
bees,9
possessed,9
fighter,9
soft,9
opinion,9
waking,9
shell,9
entertain,9
option,9
connection,9
raise,9
hears,9
cows,9
handed,9
inheritance,9
bless,9
creating,9
drinking,9
unclear,9
creative,9
actual,9
weather,9
choosing,9
pekar,9
wonders,9
scale,9
saved,9
dumb,9
gate,9
fog,9
entertainment,9
track,9
load,9
dreaming,9
subjects,9
sixty,9
belief,9
characters,9
pillow,9
occurred,9
succeed,9
appetite,9
observation,9
claim,9
countries,9
developed,9
labor,9
armies,9
newton,9
random,9
difficulty,9
nothin',9
pizza,9
gifts,9
spine,9
kingdom,9
enterprise,9
cried,9
overwhelming,9
temple,9
bedroom,9
define,9
woe,9
demand,9
seeking,9
judge,9
kryten,9
member,9
owe,9
violent,9
destruction,9
lock,9
confusing,9
visible,9
industry,9
mysterious,9
50,9
inclination,9
poetry,9
popularity,9
assume,9
related,9
transformed,9
principle,9
fourth,9
amazing,9
pity,9
glasses,9
determines,9
circus,9
gambling,9
boy's,9
junior,9
goddess,9
feeds,9
frozen,9
angel,9
user,9
peanuts,9
opportunities,9
series,9
reporting,9
warning,9
creates,9
folks,9
base,9
seats,9
fellow,9
legend,9
trained,9
filling,9
keeping,9
blackbird,9
smarter,9
helping,9
spam,9
approach,9
struggling,9
laser,9
described,9
supermarket,9
pushing,9
yearning,9
absolute,9
burst,9
confusion,9
hits,9
growth,9
prefer,9
stick,9
pull,9
specific,9
development,9
remained,9
threads,9
winds,9
michael,9
favor,9
pause,9
negative,9
revelation,9
subjective,9
extremely,9
throne,9
backs,9
al,9
wanting,9
claimed,9
devote,9
owned,9
challenged,9
doth,9
rescue,9
bay,9
inferior,9
carter,9
inspiration,9
twilight,9
ending,9
cruel,9
kindness,9
deny,9
ceiling,9
players,9
basis,9
instruction,9
facing,9
grain,9
shame,9
dimly,9
participate,9
constructed,9
persons,9
missions,9
attached,9
noble,9
destructive,9
ruin,9
eager,9
shield,9
bond,9
believing,9
proved,9
pushes,9
silly,9
etched,9
fried,9
andy,9
touching,9
sweeter,9
region,9
blade,9
health,9
exit,9
pace,9
john,9
ignorant,9
fairly,9
strokes,9
supposes,9
toeses,9
judged,8
tower,8
crown,8
seriously,8
wound,8
buried,8
sales,8
cap,8
temptation,8
steps,8
instantly,8
cracked,8
interior,8
triumph,8
fibrous,8
deeply,8
bosom,8
petty,8
mrs,8
pour,8
insurance,8
ear,8
backwards,8
cease,8
milk,8
massive,8
visit,8
financial,8
wave,8
contagious,8
oxygen,8
landing,8
dropped,8
odds,8
hypothesis,8
whisper,8
character,8
economy,8
park,8
mercy,8
birthday,8
kinda,8
furious,8
barren,8
seas,8
husband,8
depth,8
driven,8
tractor,8
concept,8
blew,8
causing,8
genuine,8
degree,8
unnecessary,8
sentences,8
chase,8
who've,8
crushes,8
possibility,8
frequently,8
types,8
flown,8
ultimately,8
peripheral,8
raw,8
materials,8
warn,8
yelling,8
ranks,8
attachments,8
freely,8
could've,8
tremble,8
trains,8
pleasure,8
regret,8
treasure,8
item,8
christian,8
fbi,8
transfer,8
fading,8
adventure,8
ignore,8
remove,8
measured,8
educated,8
university,8
sticks,8
profession,8
certainty,8
vietnam,8
kills,8
farther,8
neighbor,8
exercise,8
surprised,8
camera,8
pleased,8
hardest,8
kettle,8
shops,8
unified,8
bagel,8
pool,8
abilities,8
struck,8
butter,8
christmas,8
goin',8
forests,8
extreme,8
tests,8
religion,8
administrator,8
engineer,8
choke,8
rights,8
feared,8
circumstances,8
pattern,8
horse,8
francisco,8
races,8
farmers,8
printed,8
fashion,8
david,8
defines,8
counted,8
surrender,8
arrive,8
decade,8
gas,8
victim,8
anxiety,8
resist,8
satisfied,8
wow,8
mars,8
bread,8
agreement,8
definition,8
twelve,8
masses,8
behavior,8
farm,8
gay,8
brow,8
foot,8
bears,8
bandleader,8
multiple,8
speeds,8
europe,8
discovered,8
readable,8
carefully,8
math,8
accomplish,8
lower,8
civilization,8
solid,8
tied,8
person's,8
kissing,8
life's,8
dressed,8
returned,8
showing,8
scientific,8
electron,8
sunrise,8
ninety,8
argument,8
function,8
respectable,8
pictures,8
failed,8
pale,8
evolution,8
bodies,8
adjust,8
lion,8
april,8
showers,8
bloom,8
raining,8
condition,8
bold,8
figured,8
sides,8
chancellor,8
pressure,8
'round,8
upper,8
harder,8
security,8
professor,8
principles,8
bubble,8
reminds,8
physically,8
thick,8
click,8
conscious,8
joe,8
typists,8
liquor,8
trickle,8
combined,8
conquer,8
version,8
climbing,8
skeleton,8
surrounding,8
blonde,8
other's,8
impressed,8
sigh,8
laughed,8
cage,8
fully,8
moisture,8
bursts,8
unconscious,8
stealing,8
haunting,8
remarkable,8
trash,8
plane,8
honey,8
dim,8
rests,8
project,8
nightmare,8
details,8
invent,8
mortality,8
sank,8
